price,address,squares,type,year,bed,bath,tax
"CA$733,000","928 Richards Street #1801, Vancouver, BC",603 sq.ft. Home,"Residential, Condo",2000,1,1,"$2,015"
"CA$675,000","508 5932 Patterson Avenue, Burnaby, BC",844 sq.ft. Home,"Residential, Apartment",1980,2,1,NA
"CA$675,000","9188 University Crescent #1007, Burnaby, BC",888 sq.ft. Home,"Residential, Condo",2009,2,2,NA
"CA$675,000","5778 Marine Way #1, Sechelt, BC","1,495 sq.ft. Home","Residential, Condo",2010,2,2,NA
"CA$799,999","16433 19 Avenue #93, Surrey, BC","1,200 sq.ft. Home","Residential, Condo",2019,2,2+1,NA
"CA$640,000","15210 Pacific Avenue #108, White Rock, BC",882 sq.ft. Home,"Residential, Condo",1999,2,2,NA
"CA$549,900","3-545 Jubilee Street, Duncan, BC","1,328 sq.ft. Home","Residential, Townhouse",2022,2,2,NA
"CA$595,000","2982 Burlington Drive #1208, Coquitlam, BC",582 sq.ft. Home,"Residential, Condo",2009,1,1,NA
"CA$898,000","4250 Dawson Street #1903, Burnaby, BC",875 sq.ft. Home,"Residential, Condo",2008,2,2,NA
"CA$720,000","1331 Alberni Street #1902, Vancouver, BC",609 sq.ft. Home,"Residential, Condo",1999,1,1,"$1,955"
"CA$289,900","32070 Peardonville Road #212, Abbotsford, BC",950 sq.ft. Home,"Residential, Condo",1981,2,1,NA
"CA$868,000","1730 Duchess Avenue #404, West Vancouver, BC",934 sq.ft. Home,"Residential, Condo",1963,2,1+1,NA
"CA$600,000","2041 Bellwood Avenue #2108, Burnaby, BC",925 sq.ft. Home,"Residential, Condo",1980,2,1,NA
"CA$780,000","5262 Oakmount Crescent #105, Burnaby, BC","1,035 sq.ft. Home","Residential, Condo",1994,2,2,NA
"CA$700,000","2958 Whisper Way #210, Coquitlam, BC",876 sq.ft. Home,"Residential, Apartment",2005,2,2,"$1,892"
"CA$998,000","6498 Wildflower Place, Sechelt, BC","1,542 sq.ft. Home","Residential, Townhouse",2009,3,2+1,NA
"CA$620,000","460 Westview Street #P7, Coquitlam, BC",750 sq.ft. Home,"Residential, Apartment",1983,1,1,NA
"CA$575,000","1521 Blackwood Street #111, White Rock, BC","1,113 sq.ft. Home","Residential, Condo",1981,2,2,"$1,961"
"CA$435,000","5631 Inlet Avenue #308, Sechelt, BC",682 sq.ft. Home,"Residential, Condo",2007,2,1,NA
"CA$795,000","6 Reginald Hill Road, Salt Spring Island, BC",1.18 ac Land,"Lots & Land, Vacant Land",NA,NA,NA,NA
"CA$680,000","22633 Selkirk Avenue #407, Maple Ridge, BC","1,023 sq.ft. Home","Residential, Condo",2024,2,2,NA
"CA$719,900","3367 Skinner Road, Duncan, BC","2,077 sq.ft. Home","Residential, Duplex",2022,4,4,NA
"CA$949,000","11280 Pazarena Place #1069, Maple Ridge, BC","1,366 sq.ft. Home","Residential, Condo",2023,3,2+1,NA
"CA$567,000","11077 Ravine Road #107, Surrey, BC",754 sq.ft. Home,"Residential, Condo",2022,2,2,NA
"CA$909,000","34121 George Ferguson Way #10, Abbotsford, BC","1,735 sq.ft. Home","Residential, Condo",2021,3+1,3+1,NA
"CA$759,900","1350 View Crescent #513, Delta, BC","1,735 sq.ft. Home","Residential, Condo",1984,2,2,NA
"CA$564,000","32838 Landeau Place #305, Abbotsford, BC","1,028 sq.ft. Home","Residential, Condo",2021,2,2,NA
"CA$514,800","13318 104 Avenue #1609, Surrey, BC",581 sq.ft. Home,"Residential, Condo",2021,1,1,NA
"CA$699,000","10780 No. 5 Road #109, Richmond, BC",892 sq.ft. Home,"Residential, Condo",2018,2,2,NA
"CA$649,000","15368 17a Avenue #205, Surrey, BC","1,009 sq.ft. Home","Residential, Condo",2008,2,2,NA
"CA$500,000","33278 King Road #203, Abbotsford, BC","1,084 sq.ft. Home","Residential, Condo",1996,2,2,NA
"CA$609,900","2233 156 Street #308, Surrey, BC",674 sq.ft. Home,"Residential, Condo",2026,2,1,NA
"CA$688,000","1088 Richards Street #202, Vancouver, BC",555 sq.ft. Home,"Residential, Condo",2011,1,1,NA
